iter	RMSE
0	1305.807678
1	1254.873499
2	1208.663257
3	1166.558164
4	1127.97957
5	1092.451513
6	1061.128556
7	1031.381813
8	1003.556651
9	978.8410657
10	956.5545536
11	936.537251
12	918.7008112
13	902.2704449
14	887.1431006
15	873.5070443
16	861.2842168
17	850.613817
18	841.0972313
19	832.0756565
20	824.2201735
21	817.1505345
22	810.2154699
23	804.2983271
24	799.3827933
25	794.7147761
26	790.3519281
27	787.1572868
28	783.6147874
29	780.2253733
30	777.4184888
31	774.765691
32	772.7807502
33	770.5681069
34	768.7345519
35	767.1156191
36	765.9961088
37	764.3216209
38	763.1332121
39	762.0216042
40	760.9432669
41	760.0080405
42	758.9930428
43	758.2053224
44	757.4843069
45	756.8207496
46	756.1473843
47	755.5839839
48	755.1164463
49	754.6239871
50	754.3833387
51	754.1146538
52	753.7282424
53	753.1529496
54	752.8585323
55	752.6871499
56	752.2688869
57	752.1003034
58	751.8805536
59	751.7554007
60	751.6848067
61	751.2595591
62	751.1637464
63	750.7940231
64	750.4621781
65	750.0348516
66	749.5620886
67	749.2496228
68	749.074638
69	748.8057498
70	748.484194
71	748.3991134
72	748.2891689
73	748.1344132
74	748.0850097
75	747.883957
76	747.7792536
77	747.5302835
78	747.2842758
79	747.1870963
80	747.123106
81	746.9073973
82	746.668411
83	746.5027866
84	746.4579562
85	746.3803649
86	746.3154172
87	746.1633097
88	746.0137455
89	746.0024908
90	745.9558062
91	745.8255813
92	745.613668
93	745.5435449
94	745.4058219
95	745.3875985
96	745.3103043
97	745.1922637
98	745.1475416
99	744.9660016
100	744.8822702
101	744.8820228
102	744.7853199
103	744.7850574
104	744.7498529
105	744.6352084
106	744.6107054
107	744.5996178
108	744.5752799
109	744.5365097
110	744.5182578
111	744.501917
112	744.4761959
113	744.3588641
114	744.3004879
115	744.298127
116	744.2463941
117	744.1845197
118	744.0459224
119	743.8923201
120	743.8168351
121	743.6495284
122	743.6225785
123	743.5745852
124	743.3951514
125	743.3518881
126	743.2852561
127	743.2490311
128	743.1784448
129	743.0623318
130	743.030399
131	743.0206677
132	742.9382588
133	742.8643266
134	742.8570699
135	742.7809031
136	742.7669042
137	742.7467882
138	742.6474574
139	742.5702648
140	742.419101
141	742.2636969
142	742.1167732
143	742.0427799
144	741.8998101
145	741.8919388
146	741.7770408
147	741.6976872
148	741.6975472
149	741.641888
150	741.5240652
151	741.5162158
152	741.4815518
153	741.2712476
154	741.2689278
155	741.0756815
156	741.0304375
157	740.8940749
158	740.8699509
159	740.8346303
160	740.8147657
161	740.7576996
162	740.6382558
163	740.6075364
164	740.5258734
165	740.4348548
166	740.4039564
167	740.3131533
168	740.2066397
169	740.1930469
170	740.1696551
171	740.0779563
172	739.9443137
173	739.9247814
174	739.7956163
175	739.7492936
176	739.725831
177	739.6915841
178	739.4975975
179	739.4349956
180	739.4002873
181	739.2991829
182	739.1669177
183	738.999452
184	738.8762075
185	738.7308191
186	738.6463413
187	738.5840146
188	738.5695982
189	738.5492051
190	738.4658884
191	738.417548
192	738.3296012
193	738.2780999
194	738.1493224
195	737.9811739
196	737.9186294
197	737.8860307
198	737.8018035
199	737.7534812
200	737.6935207
201	737.6277314
202	737.4846459
203	737.4450333
204	737.2977883
205	737.2281191
206	737.1963794
207	737.1687413
208	737.1231158
209	737.0291823
210	737.0060554
211	736.8802643
212	736.744897
213	736.7159826
214	736.6738395
215	736.5983071
216	736.5712263
217	736.3329129
218	736.1999118
219	736.1909424
220	736.1566535
221	736.1337815
222	736.0584632
223	736.0224244
224	735.9787007
225	735.8353929
226	735.8089966
227	735.7015731
228	735.6864971
229	735.6745069
230	735.6050297
231	735.4602202
232	735.449336
233	735.3590172
234	735.3099983
235	735.2019458
236	735.1625112
237	735.1509552
238	735.1146196
239	735.0945236
240	734.954603
241	734.890447
242	734.8624438
243	734.7555037
244	734.6078991
245	734.5513507
246	734.543677
247	734.4452171
248	734.3869561
249	734.2680708
250	734.1637269
251	734.155852
252	734.1449147
253	734.1357008
254	734.0262728
255	733.9868946
256	733.9691579
257	733.9029372
258	733.7070203
259	733.6952637
260	733.6403729
261	733.5625016
262	733.4938217
263	733.4403631
264	733.396831
265	733.3884676
266	733.3453773
267	733.3318536
268	733.3271608
269	733.3246277
270	733.2995228
271	733.2730728
272	733.2478573
273	733.1988869
274	733.1120187
275	733.0881248
276	732.9708432
277	732.8840292
278	732.8664712
279	732.8588409
280	732.8287261
281	732.7321692
282	732.6217855
283	732.6032645
284	732.5817167
285	732.5676659
286	732.4772653
287	732.44654
288	732.4150575
289	732.3888733
290	732.3591807
291	732.2922876
292	732.2542073
293	732.1822003
294	732.1154445
295	732.0843676
296	732.0142727
297	731.9849015
298	731.9382162
299	731.8598341
300	731.6691018
301	731.656954
302	731.5288936
303	731.5037064
304	731.4966171
305	731.3469821
306	731.2523104
307	731.2075247
308	731.1773342
309	731.1237025
310	731.02103
311	730.9629494
312	730.9168856
313	730.8596102
314	730.8382309
315	730.7670717
