iter	Passed	Remaining
0	1	642
1	1	432
2	2	348
3	2	312
4	2	293
5	3	273
6	3	260
7	4	251
8	4	243
9	4	238
10	5	235
11	5	231
12	6	226
13	6	224
14	6	220
15	7	216
16	7	214
17	7	212
18	8	211
19	8	209
20	9	208
21	9	207
22	9	204
23	10	202
24	10	200
25	10	198
26	11	196
27	11	195
28	12	196
29	12	195
30	12	195
31	13	196
32	13	193
33	14	193
34	14	192
35	14	191
36	15	190
37	15	189
38	15	188
39	16	187
40	16	186
41	16	185
42	17	185
43	17	183
44	18	182
45	18	181
46	18	180
47	19	180
48	19	180
49	19	179
50	20	179
51	20	179
52	21	179
53	21	178
54	21	177
55	22	177
56	22	177
57	23	176
58	23	175
59	23	175
60	24	174
61	24	174
62	24	173
63	25	172
64	25	171
65	26	171
66	26	171
67	26	171
68	27	170
69	27	170
70	28	170
71	28	169
72	28	169
73	29	168
74	29	167
75	30	167
76	30	165
77	30	165
78	30	164
79	31	164
80	31	164
81	32	163
82	32	163
83	32	162
84	33	161
85	33	161
86	33	161
87	34	160
88	34	160
89	35	159
90	35	159
91	35	159
92	36	158
93	36	158
94	37	157
95	37	157
96	37	157
97	38	157
98	38	156
99	39	156
100	39	155
101	39	154
102	40	154
103	40	153
104	40	153
105	41	152
106	41	152
107	41	152
108	42	152
109	42	152
110	43	151
111	43	151
112	44	151
113	44	150
114	45	150
115	45	150
116	45	150
117	46	149
118	46	149
119	46	148
120	47	147
121	47	147
122	47	146
123	48	146
124	48	145
125	48	145
126	49	144
127	49	144
128	50	143
129	50	143
130	50	142
131	51	142
132	51	142
133	51	141
134	52	141
135	52	140
136	52	140
137	53	139
138	53	139
139	53	138
140	54	138
141	54	137
142	54	137
143	55	136
144	55	136
145	56	136
146	56	135
147	56	135
148	57	134
149	57	134
150	58	134
151	58	134
152	59	134
153	59	133
154	59	133
155	60	133
156	60	132
157	61	132
158	61	131
159	61	131
160	62	130
161	62	130
162	62	129
163	63	129
164	63	128
165	63	128
166	64	127
167	64	127
168	64	127
169	65	126
170	65	126
171	66	125
172	66	125
173	66	125
174	67	124
175	67	124
176	67	123
177	68	123
178	68	122
179	68	122
180	69	122
181	69	121
182	70	121
183	70	120
184	70	120
185	71	120
186	71	119
187	71	119
188	72	118
189	72	118
190	73	118
191	73	118
192	74	117
193	74	117
194	74	117
195	75	116
196	75	116
197	75	115
198	76	115
199	76	114
200	77	114
201	77	114
202	77	113
203	78	113
204	78	112
205	78	112
206	79	111
207	79	111
208	79	111
209	80	110
210	80	110
211	80	109
212	81	109
213	81	108
214	81	108
215	82	108
216	82	107
217	83	107
218	83	106
219	83	106
220	84	106
221	84	105
222	84	105
223	85	104
224	85	104
225	85	104
226	86	103
227	86	103
228	86	102
229	87	102
230	87	101
231	87	101
232	88	101
233	88	100
234	89	100
235	89	100
236	90	99
237	90	99
238	90	99
239	91	99
240	91	98
241	92	98
242	92	97
243	92	97
244	93	97
245	93	96
246	93	96
247	94	95
248	94	95
249	95	95
250	95	94
251	95	94
252	96	93
253	96	93
254	96	92
255	97	92
256	97	92
257	97	91
258	98	91
259	98	90
260	98	90
261	99	90
262	100	90
263	100	90
264	101	89
265	101	89
266	101	88
267	102	88
268	102	88
269	102	87
270	103	87
271	103	86
272	103	86
273	104	85
274	104	85
275	104	85
276	105	84
277	106	84
278	106	84
279	107	84
280	107	83
281	108	83
282	108	83
283	108	82
284	109	82
285	109	81
286	109	81
287	110	81
288	110	80
289	111	80
290	111	79
291	111	79
292	112	79
293	112	78
294	113	78
295	113	78
296	113	77
297	114	77
298	114	77
299	114	76
300	115	76
301	115	75
302	115	75
303	116	74
304	116	74
305	117	74
306	117	73
307	117	73
308	118	73
309	118	72
310	119	72
311	119	72
312	119	71
313	120	71
314	120	70
315	121	70
316	121	70
317	122	69
318	122	69
319	123	69
320	123	68
321	123	68
322	124	68
323	124	67
324	125	67
325	125	67
326	125	66
327	126	66
328	126	65
329	127	65
330	127	65
331	127	64
332	128	64
333	128	63
334	128	63
335	129	63
336	129	62
337	129	62
338	130	61
339	130	61
340	130	61
341	131	60
342	131	60
343	132	59
344	132	59
345	132	59
346	133	58
347	133	58
348	133	57
349	134	57
350	134	57
351	135	56
352	135	56
353	135	56
354	136	55
355	136	55
356	137	54
357	137	54
358	137	54
359	138	53
360	138	53
361	139	52
362	139	52
363	139	52
364	140	51
365	140	51
366	140	51
367	141	50
368	141	50
369	141	49
370	142	49
371	142	49
372	142	48
373	143	48
374	143	47
375	143	47
376	144	47
377	144	46
378	145	46
379	145	45
380	145	45
381	146	45
382	146	44
383	146	44
384	147	43
385	147	43
386	147	43
387	148	42
388	148	42
389	149	42
390	149	41
391	149	41
392	150	40
393	150	40
394	150	40
395	151	39
396	151	39
397	152	39
398	152	38
399	152	38
400	153	37
401	153	37
402	154	37
403	154	36
404	154	36
405	155	35
406	155	35
407	155	35
408	156	34
409	156	34
410	157	34
411	157	33
412	157	33
413	158	32
414	158	32
415	158	32
416	159	31
417	159	31
418	160	30
419	160	30
420	160	30
421	161	29
422	161	29
423	161	29
424	162	28
425	162	28
426	162	27
427	163	27
428	163	27
429	163	26
430	164	26
431	164	25
432	164	25
433	165	25
434	165	24
435	166	24
436	166	23
437	166	23
438	166	23
439	167	22
440	167	22
441	168	22
442	168	21
443	168	21
444	169	20
445	169	20
446	169	20
447	170	19
448	170	19
449	171	19
450	171	18
451	172	18
452	172	17
453	172	17
454	173	17
455	173	16
456	173	16
457	174	15
458	174	15
459	174	15
460	175	14
461	175	14
462	175	14
463	176	13
464	176	13
465	176	12
466	177	12
467	177	12
468	177	11
469	178	11
470	178	10
471	179	10
472	179	10
473	179	9
474	180	9
475	181	9
476	181	8
477	181	8
478	182	7
479	182	7
480	182	7
481	183	6
482	183	6
483	184	6
484	184	5
485	185	5
486	185	4
487	186	4
488	186	4
489	186	3
490	187	3
491	187	3
492	187	2
493	188	2
494	188	1
495	189	1
496	189	1
497	190	0
498	190	0
499	191	0
