               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11779,            0.031621,                   0,           0.0029909,            0.076923,           0.0041825,          0.00083861,            0.098327,            0.027632,                   0,              0.0838,              0.0018,              0.0018
                   1,            0.094648,            0.031047,                   0,           0.0078214,             0.23077,            0.010792,           0.0038719,            0.084323,            0.025438,                   0,            0.066663,           0.0036634,           0.0036634
                   2,            0.083439,             0.02841,                   0,            0.042125,             0.23077,             0.10839,            0.037494,            0.072088,            0.023302,                   0,            0.049489,           0.0054891,           0.0054891
                   3,            0.081789,            0.027858,                   0,           0.0089096,             0.84615,            0.059502,            0.014223,             0.06522,            0.019926,                   0,            0.032277,           0.0072772,           0.0072772
                   4,            0.080208,            0.024456,                   0,             0.13635,             0.38462,             0.22582,            0.047056,            0.068825,            0.017088,                   0,            0.015028,           0.0090278,           0.0090278
                   5,            0.076294,             0.02161,                   0,              0.1498,            0.076923,              0.2264,            0.075405,            0.063937,            0.016161,                   0,            0.009505,            0.009505,            0.009505
                   6,            0.068261,            0.020444,                   0,             0.56673,             0.23077,             0.36378,            0.093489,            0.062226,            0.015985,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.074157,            0.021214,                   0,             0.17915,             0.23077,             0.21058,            0.060729,            0.073351,            0.012678,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.077647,            0.019002,                   0,             0.17531,             0.53846,             0.20983,            0.075801,            0.065969,            0.013304,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.075676,            0.021005,                   0,             0.10692,             0.61538,             0.10416,            0.026276,            0.067044,            0.013746,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.071918,            0.022005,                   0,             0.29168,             0.30769,             0.26377,             0.13238,            0.060434,            0.013936,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.068887,            0.021191,                   0,              0.2866,             0.30769,              0.2743,             0.12068,            0.059485,            0.013755,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.060425,            0.021326,                   0,             0.16599,             0.61538,             0.25577,            0.072233,            0.051451,            0.014107,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.062438,            0.022938,                   0,             0.28835,             0.46154,             0.31468,            0.083778,            0.061113,            0.012352,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.058465,            0.018088,                   0,             0.35136,             0.61538,             0.45135,             0.18784,            0.047972,            0.014241,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.057014,            0.020759,                   0,             0.32756,             0.61538,             0.34182,             0.14112,            0.051687,            0.013584,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.053334,            0.020883,                   0,             0.49247,             0.61538,             0.41388,             0.15272,            0.052685,            0.013173,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.052896,            0.019919,                   0,             0.53054,             0.69231,              0.4663,             0.13572,            0.054291,            0.012354,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.055261,            0.016775,                   0,             0.50271,             0.61538,             0.49293,             0.17972,             0.04674,            0.012628,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.056188,            0.018592,                   0,             0.42938,             0.76923,             0.47803,             0.21632,            0.048812,            0.012289,                   0,            0.008218,            0.008218,            0.008218
                  20,             0.04887,            0.016275,                   0,             0.44266,             0.55046,             0.48142,             0.14643,            0.049041,            0.011981,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.049111,            0.017059,                   0,             0.45186,             0.61538,             0.44493,             0.13665,            0.048249,            0.012005,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.050937,            0.019236,                   0,             0.50339,             0.62424,             0.47606,             0.15458,            0.045102,             0.01201,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.047035,            0.018418,                   0,             0.44348,             0.69231,             0.48204,             0.19385,            0.048316,            0.011362,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.045703,            0.017268,                   0,             0.52611,             0.61538,             0.54768,             0.18908,            0.049225,            0.011211,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.050117,            0.018011,                   0,             0.56578,             0.61538,             0.52069,             0.15456,             0.04831,            0.011132,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.046237,            0.016809,                   0,             0.71636,              0.5846,             0.58772,             0.19211,            0.046399,            0.011167,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.045974,            0.018087,                   0,             0.63671,             0.61538,             0.55738,             0.27603,            0.043123,            0.011081,                   0,            0.007426,            0.007426,            0.007426
                  28,              0.0428,            0.017359,                   0,             0.48737,             0.58624,              0.4811,             0.16965,            0.047509,             0.01047,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.047574,            0.015793,                   0,             0.77465,             0.76923,             0.74176,             0.29441,            0.042867,            0.010601,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.044543,            0.014757,                   0,             0.63216,             0.69231,             0.61187,               0.279,             0.04621,            0.010064,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.047563,            0.015792,                   0,             0.51187,             0.69231,             0.63708,             0.28776,            0.043772,            0.010326,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.038292,            0.014708,                   0,             0.65128,             0.71951,             0.72021,             0.30621,            0.042824,            0.010434,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.042319,            0.014338,                   0,              0.7132,             0.53846,             0.66821,             0.33431,            0.045456,                0.01,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.043034,            0.015748,                   0,             0.65042,             0.61538,             0.70007,             0.32876,            0.042261,            0.010229,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.043555,            0.015635,                   0,             0.77284,             0.61538,             0.72374,             0.31519,            0.042555,           0.0099904,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.038533,            0.014189,                   0,             0.73912,             0.69231,              0.7647,             0.37063,            0.043712,           0.0099974,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.037791,            0.014855,                   0,             0.79719,             0.69231,             0.77224,             0.36331,            0.042303,           0.0099745,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.038759,             0.01545,                   0,             0.75012,             0.69279,             0.78533,             0.41285,            0.041556,           0.0096645,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.036069,            0.013003,                   0,             0.79004,             0.58091,             0.72911,             0.26069,            0.047404,           0.0094173,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.046189,            0.014348,                   0,             0.63438,             0.66856,             0.70984,             0.35757,            0.042804,           0.0093971,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.035592,            0.012498,                   0,              0.8304,             0.75434,             0.81857,              0.4221,            0.041013,           0.0096914,                   0,             0.00604,             0.00604,             0.00604
                  42,              0.0351,            0.013432,                   0,             0.81021,             0.76923,             0.81715,             0.48702,            0.038346,            0.009422,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.030552,            0.013117,                   0,             0.80675,             0.76923,             0.82768,             0.48348,            0.038224,           0.0092684,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.033658,            0.014067,                   0,             0.74867,             0.76923,             0.82785,             0.42284,            0.042884,           0.0092071,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.036748,            0.014128,                   0,             0.74391,             0.76923,             0.84883,             0.43365,             0.03806,           0.0092835,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.032035,            0.012755,                   0,                   1,             0.59864,             0.81836,             0.39297,            0.038828,           0.0093066,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.035128,            0.012974,                   0,             0.89794,             0.67803,             0.87545,             0.43342,            0.037286,           0.0090766,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.035051,            0.014714,                   0,              0.7188,             0.78744,             0.84938,             0.44947,            0.036966,           0.0091196,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.032317,            0.012739,                   0,             0.85552,             0.61538,             0.78807,             0.37594,             0.04022,           0.0090955,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.036216,            0.010824,                   0,             0.73613,             0.76923,             0.82647,             0.46353,            0.036893,           0.0092882,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.038099,            0.012236,                   0,              0.8145,             0.67671,             0.82188,             0.41022,            0.039314,           0.0093027,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.034615,             0.01182,                   0,             0.90814,             0.76117,             0.86043,             0.42209,             0.04038,           0.0093082,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.033011,               0.013,                   0,             0.79407,             0.89112,             0.85465,             0.44302,            0.038746,             0.00939,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.028127,            0.011236,                   0,             0.77271,             0.84615,              0.8484,             0.44135,             0.03804,           0.0095618,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.029655,             0.01244,                   0,             0.93848,             0.61538,             0.83775,             0.40552,            0.038893,           0.0094269,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.028724,            0.012951,                   0,             0.69242,             0.86675,             0.86912,             0.44994,            0.038446,           0.0095817,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.029235,            0.010691,                   0,             0.63788,             0.81414,             0.80331,             0.41758,            0.038755,           0.0093262,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.025853,            0.012201,                   0,             0.79467,             0.89436,              0.8945,             0.46278,            0.036387,           0.0093646,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.030612,            0.012635,                   0,              0.8999,             0.69159,             0.83772,             0.45733,            0.036285,           0.0093273,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.030469,            0.012122,                   0,             0.89665,             0.76923,             0.84351,             0.46482,            0.038993,           0.0090133,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.029776,            0.012918,                   0,             0.87709,             0.76923,             0.85865,             0.47991,            0.037442,           0.0092068,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.029245,            0.012111,                   0,             0.90745,             0.75534,             0.84776,             0.40376,            0.038836,           0.0089928,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.029144,             0.01122,                   0,             0.88254,             0.76923,             0.85036,             0.48131,            0.036821,           0.0088487,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.027443,            0.010686,                   0,             0.88605,             0.76923,             0.85748,              0.4573,            0.037157,           0.0087871,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.029173,            0.012264,                   0,             0.81936,             0.76923,             0.83833,             0.45829,            0.035955,           0.0090186,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.030549,            0.011449,                   0,             0.81693,             0.76923,             0.83784,             0.52028,            0.035533,           0.0088826,                   0,            0.003565,            0.003565,            0.003565
                  67,             0.02456,             0.01019,                   0,             0.81444,             0.76923,              0.8258,             0.43032,             0.03806,           0.0087772,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.028095,            0.012312,                   0,             0.81713,             0.76923,             0.88747,             0.49411,            0.036113,           0.0088445,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.027903,            0.012235,                   0,             0.81423,             0.76923,             0.86105,             0.51388,            0.035681,           0.0088428,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.026334,            0.010257,                   0,             0.89777,             0.84615,             0.88883,             0.55471,            0.035465,           0.0086166,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.027914,            0.012454,                   0,             0.91458,             0.82498,             0.86368,              0.4944,            0.036427,           0.0086437,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.030224,            0.010093,                   0,             0.84562,             0.84615,              0.8553,             0.49385,            0.035179,            0.008642,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.024944,            0.011952,                   0,             0.87464,             0.76923,             0.84173,              0.5024,            0.035534,           0.0087199,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.026507,           0.0097467,                   0,             0.82393,             0.84615,             0.85678,             0.50535,            0.034619,           0.0086315,                   0,            0.002773,            0.002773,            0.002773
                  75,             0.02819,             0.01045,                   0,             0.83276,             0.84615,             0.85686,             0.50036,            0.035421,           0.0086933,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.025522,            0.011788,                   0,             0.83607,             0.84615,             0.86392,             0.52961,            0.034711,           0.0086634,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.027972,           0.0098267,                   0,             0.83948,             0.84615,               0.861,             0.51673,            0.035346,           0.0085068,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.025044,            0.011877,                   0,              0.8384,             0.84615,             0.86463,             0.51011,            0.033792,            0.008514,                   0,            0.002377,            0.002377,            0.002377
                  79,             0.02351,            0.011305,                   0,               0.884,             0.76923,             0.86356,             0.48633,            0.035166,           0.0084384,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.023356,             0.01138,                   0,             0.87489,             0.76923,             0.85534,             0.50609,            0.034625,           0.0085023,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.021964,           0.0096372,                   0,             0.90483,             0.73314,             0.89563,             0.52814,            0.034295,           0.0084209,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.023283,             0.01149,                   0,             0.84159,             0.84615,              0.9089,             0.53673,            0.034562,           0.0085038,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.021578,            0.011376,                   0,             0.90549,             0.73879,             0.88859,             0.52361,            0.035141,           0.0084855,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.024503,            0.010748,                   0,             0.90519,             0.76923,             0.86873,             0.54045,            0.035799,           0.0084317,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.023171,             0.01041,                   0,             0.82676,             0.76923,              0.8838,             0.52805,            0.036144,           0.0085489,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.023579,              0.0113,                   0,             0.83567,             0.84615,             0.85832,             0.52137,            0.036207,           0.0086158,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.022535,           0.0090028,                   0,             0.90539,             0.73794,             0.86364,             0.51317,            0.035176,           0.0085913,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.022655,           0.0087851,                   0,             0.82447,             0.72424,             0.85888,             0.50637,            0.034937,           0.0087071,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.025224,            0.011064,                   0,             0.90591,             0.74228,             0.86373,             0.50115,             0.03456,           0.0086556,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.021152,            0.011095,                   0,              0.8247,             0.72539,             0.83222,             0.51298,            0.034636,           0.0086637,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.023175,            0.011647,                   0,             0.81809,             0.76923,             0.84723,             0.49539,            0.034906,           0.0086612,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.019807,           0.0096786,                   0,             0.90876,              0.7664,              0.8533,             0.51215,            0.033869,           0.0085338,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.024126,            0.010925,                   0,             0.89141,             0.76923,              0.8806,               0.516,            0.032756,           0.0084997,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.024557,            0.010785,                   0,             0.90783,             0.75859,             0.87601,             0.54169,            0.033307,           0.0085577,                   0,            0.000793,            0.000793,            0.000793
