================ Training Loss (Tue Dec  2 17:51:04 2025) ================
[Rank 0] (epoch: 1, iters: 10, time: 0.515, data: 2.226) , D_A: 1.074, G_A: 0.801, cycle_A: 3.755, idt_A: 0.000, D_B: 0.737, G_B: 0.693, cycle_B: 3.449, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 20, time: 0.477, data: 0.000) , D_A: 0.580, G_A: 0.589, cycle_A: 4.670, idt_A: 0.000, D_B: 0.691, G_B: 0.707, cycle_B: 3.625, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 30, time: 0.509, data: 0.000) , D_A: 0.201, G_A: 0.657, cycle_A: 5.196, idt_A: 0.000, D_B: 0.988, G_B: 1.490, cycle_B: 2.389, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 40, time: 0.470, data: 0.000) , D_A: 0.356, G_A: 0.447, cycle_A: 3.644, idt_A: 0.000, D_B: 0.378, G_B: 0.491, cycle_B: 2.928, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 50, time: 0.472, data: 0.000) , D_A: 0.202, G_A: 0.649, cycle_A: 5.334, idt_A: 0.000, D_B: 0.355, G_B: 0.503, cycle_B: 2.507, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 60, time: 0.468, data: 0.000) , D_A: 0.196, G_A: 0.523, cycle_A: 2.809, idt_A: 0.000, D_B: 0.251, G_B: 0.467, cycle_B: 2.794, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 70, time: 0.485, data: 0.000) , D_A: 0.129, G_A: 0.618, cycle_A: 3.084, idt_A: 0.000, D_B: 0.173, G_B: 0.637, cycle_B: 2.756, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 80, time: 0.484, data: 0.000) , D_A: 0.232, G_A: 0.355, cycle_A: 2.368, idt_A: 0.000, D_B: 0.222, G_B: 0.531, cycle_B: 2.776, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 90, time: 0.488, data: 0.000) , D_A: 0.260, G_A: 0.447, cycle_A: 2.833, idt_A: 0.000, D_B: 0.279, G_B: 0.378, cycle_B: 4.179, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 100, time: 0.508, data: 0.000) , D_A: 0.226, G_A: 0.229, cycle_A: 4.522, idt_A: 0.000, D_B: 0.347, G_B: 0.410, cycle_B: 3.142, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 110, time: 0.470, data: 0.000) , D_A: 0.221, G_A: 0.508, cycle_A: 5.548, idt_A: 0.000, D_B: 0.199, G_B: 0.651, cycle_B: 2.412, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 120, time: 0.516, data: 0.000) , D_A: 0.149, G_A: 0.824, cycle_A: 3.838, idt_A: 0.000, D_B: 0.133, G_B: 0.485, cycle_B: 2.401, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 130, time: 0.474, data: 0.000) , D_A: 0.259, G_A: 0.871, cycle_A: 3.279, idt_A: 0.000, D_B: 0.283, G_B: 0.236, cycle_B: 4.282, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 140, time: 0.447, data: 0.000) , D_A: 0.160, G_A: 0.343, cycle_A: 5.339, idt_A: 0.000, D_B: 0.297, G_B: 0.366, cycle_B: 2.162, idt_B: 0.000

[Rank 0] (epoch: 1, iters: 150, time: 0.423, data: 0.000) , D_A: 0.282, G_A: 0.094, cycle_A: 2.974, idt_A: 0.000, D_B: 0.416, G_B: 0.454, cycle_B: 3.546, idt_B: 0.000

